2025-08-03 11:10:34,852 | INFO     | __main__ | Chargement cache local : 0.23 sec
2025-08-03 11:10:35,456 | INFO     | __main__ | Initialisation UI : 0.60 sec
2025-08-03 11:10:35,469 | INFO     | __main__ | Temps total d'ouverture : 0.92 sec
2025-08-03 11:10:36,256 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:10:37,042 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:10:37,042 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:08:18.679065+00:00
2025-08-03 11:10:37,042 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:10:37,668 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:10:37,669 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:11:58,173 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:11:58 ---


2025-08-03 11:11:58,243 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:11:58,314 | INFO     | __main__ | Application démarrée
2025-08-03 11:11:58,551 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:11:58,553 | INFO     | __main__ | Chargement cache local : 0.24 sec
2025-08-03 11:11:59,151 | INFO     | __main__ | Initialisation UI : 0.59 sec
2025-08-03 11:11:59,164 | INFO     | __main__ | Temps total d'ouverture : 0.92 sec
2025-08-03 11:12:01,317 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:12:01,317 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:10:37.669298+00:00
2025-08-03 11:12:01,317 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:12:01,386 | INFO     | __main__ | Changement d'écran vers : semestre_2
2025-08-03 11:12:01,402 | INFO     | __main__ | Affichage du semestre 2
2025-08-03 11:12:02,345 | INFO     | __main__ | Changement d'écran vers : semestre_3
2025-08-03 11:12:02,346 | INFO     | __main__ | Affichage du semestre 3
2025-08-03 11:12:28,786 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:12:28 ---


2025-08-03 11:12:28,855 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:12:28,925 | INFO     | __main__ | Application démarrée
2025-08-03 11:12:29,137 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:12:29,139 | INFO     | __main__ | Chargement cache local : 0.21 sec
2025-08-03 11:12:29,742 | INFO     | __main__ | Initialisation UI : 0.60 sec
2025-08-03 11:12:29,754 | INFO     | __main__ | Temps total d'ouverture : 0.90 sec
2025-08-03 11:12:30,415 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:12:32,422 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:12:32,422 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:10:37.669298+00:00
2025-08-03 11:12:32,422 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:12:33,047 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:12:33,048 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:13:57,365 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:13:57 ---


2025-08-03 11:13:57,447 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:13:57,534 | INFO     | __main__ | Application démarrée
2025-08-03 11:13:57,803 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:13:57,805 | INFO     | __main__ | Chargement cache local : 0.27 sec
2025-08-03 11:13:58,437 | INFO     | __main__ | Initialisation UI : 0.63 sec
2025-08-03 11:13:58,449 | INFO     | __main__ | Temps total d'ouverture : 1.00 sec
2025-08-03 11:13:58,807 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:14:00,397 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:14:00,397 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:12:33.048491+00:00
2025-08-03 11:14:00,398 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:14:36,448 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:14:36 ---


2025-08-03 11:14:36,526 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:14:36,608 | INFO     | __main__ | Application démarrée
2025-08-03 11:14:36,854 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:14:36,856 | INFO     | __main__ | Chargement cache local : 0.25 sec
2025-08-03 11:14:37,462 | INFO     | __main__ | Initialisation UI : 0.60 sec
2025-08-03 11:14:37,476 | INFO     | __main__ | Temps total d'ouverture : 0.95 sec
2025-08-03 11:14:38,160 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
